metric,fis,threshold
demand_weighted_service_denominator,87.99999999999925,87.99999999999925
demand_weighted_service_index,0.09698547979798042,0.13303345959596088
demand_weighted_service_numerator,8.534722222222204,11.706944444444458
duration_days,5.0,5.0
e_battery_external_charge_wh,909.5274982713247,835.30090761685
e_battery_external_discharge_wh,1181.1084029022827,1947.317418308469
e_battery_stored_charge_wh,818.5747484441919,751.7708168551651
e_battery_stored_discharge_wh,1243.2720030550322,2049.8078087457015
e_ev_during_battery_discharge_wh,1887.416666666675,2626.999999999995
e_ev_useful_wh,1887.416666666675,2626.999999999995
e_ev_when_pv_zero_wh,29.58333333333333,343.1666666666668
e_pv_curtailed_wh,4.6629367034256575e-15,3.552713678800501e-15
e_pv_potential_wh,2473.2107620356987,2473.2107620356987
e_station_base_wh,600.0000000000013,600.0000000000013
ev_during_battery_discharge_percent,100.0,99.99999999999999
ev_when_pv_zero_percent,1.5673981191222501,13.063063063063092
mode_changes,104.0,101.0
pv_utilization_percent,100.0,100.0
requested_output_hours,244.9999999999991,244.9999999999991
requested_output_service_percent,10.850340136054418,15.102040816326571
served_output_hours,26.583333333333226,36.999999999999964
soc_change_percentage_points,-11.797145961412099,-36.05658310807031
soc_final_percent,68.2028540385879,43.94341689192969
soc_initial_percent,80.0,80.0
soc_min_percent,67.36567615187793,43.004201456690765
time_critical_h,0.0,0.0
time_restricted_h,0.0,0.0
unserved_output_hours,218.41666666666544,207.99999999999895
unserved_station_energy_wh,8.881784197001252e-16,8.881784197001252e-16
