strategy,time_min,time_h,timestamp,soc_before_percent,soc_after_percent,battery_protection_before,battery_protection_after,shortwave_radiation_wm2,cloud_cover_percent,precipitation_probability_percent,weather_index,local_irradiance_wm2,pv_raw_power_w,pv_delivered_power_w,demand_index,demand_requested_outputs,p_net_predecision_w,raw_mode,centroid,requested_mode,applied_mode,active_outputs,final_station_load_w,battery_requested_power_w,pv_curtailed_wh_step,blocked_reasons,stabilization_reason
threshold,0,0.0,2026-01-01T00:00:00Z,80.0,79.98781676413255,NORMAL,NORMAL,0.0,45.0,25.0,0.16787878787878788,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.0,poor_tracking_condition,initialized_from_first_valid_decision
threshold,5,0.08333333333333333,2026-01-01T00:05:00Z,79.98781676413255,79.9756335282651,NORMAL,NORMAL,0.0,45.0,25.0,0.16787878787878788,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,10,0.16666666666666666,2026-01-01T00:10:00Z,79.9756335282651,79.96345029239765,NORMAL,NORMAL,0.0,45.0,25.0,0.16787878787878788,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,15,0.25,2026-01-01T00:15:00Z,79.96345029239765,79.95126705653021,NORMAL,NORMAL,0.0,45.0,25.0,0.16787878787878788,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,20,0.3333333333333333,2026-01-01T00:20:00Z,79.95126705653021,79.93908382066276,NORMAL,NORMAL,0.0,45.0,25.0,0.16787878787878788,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,25,0.4166666666666667,2026-01-01T00:25:00Z,79.93908382066276,79.92690058479532,NORMAL,NORMAL,0.0,45.0,25.0,0.16787878787878788,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,30,0.5,2026-01-01T00:30:00Z,79.92690058479532,79.91471734892787,NORMAL,NORMAL,0.0,45.0,25.0,0.16787878787878788,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,35,0.5833333333333334,2026-01-01T00:35:00Z,79.91471734892787,79.90253411306043,NORMAL,NORMAL,0.0,45.0,25.0,0.16787878787878788,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,40,0.6666666666666666,2026-01-01T00:40:00Z,79.90253411306043,79.89035087719299,NORMAL,NORMAL,0.0,45.0,25.0,0.16787878787878788,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,45,0.75,2026-01-01T00:45:00Z,79.89035087719299,79.87816764132555,NORMAL,NORMAL,0.0,45.0,25.0,0.16787878787878788,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
