strategy,scenario,day,time_min,time_h,time_of_day_h,timestamp,soc_before_percent,soc_after_percent,battery_protection_before,battery_protection_after,shortwave_radiation_wm2,cloud_cover_percent,precipitation_probability_percent,weather_index,local_irradiance_wm2,pv_raw_power_w,pv_delivered_power_w,demand_index,demand_requested_outputs,p_net_predecision_w,raw_mode,centroid,requested_mode,applied_mode,active_outputs,final_station_load_w,battery_requested_power_w,battery_external_discharge_wh_step,ev_useful_wh_step,pv_curtailed_wh_step,blocked_reasons,stabilization_reason
threshold,restrictive,1,0,0.0,0.0,2026-01-01T00:00:00Z,30.0,29.987816764132553,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,initialized_from_first_valid_decision
threshold,restrictive,1,5,0.08333333333333333,0.08333333333333333,2026-01-01T00:05:00Z,29.987816764132553,29.975633528265107,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,10,0.16666666666666666,0.16666666666666666,2026-01-01T00:10:00Z,29.975633528265107,29.963450292397663,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,15,0.25,0.25,2026-01-01T00:15:00Z,29.963450292397663,29.951267056530217,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,20,0.3333333333333333,0.3333333333333333,2026-01-01T00:20:00Z,29.951267056530217,29.93908382066277,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,25,0.4166666666666667,0.4166666666666667,2026-01-01T00:25:00Z,29.93908382066277,29.926900584795327,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,30,0.5,0.5,2026-01-01T00:30:00Z,29.926900584795327,29.91471734892788,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,35,0.5833333333333334,0.5833333333333334,2026-01-01T00:35:00Z,29.91471734892788,29.902534113060433,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,40,0.6666666666666666,0.6666666666666666,2026-01-01T00:40:00Z,29.902534113060433,29.890350877192986,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,45,0.75,0.75,2026-01-01T00:45:00Z,29.890350877192986,29.87816764132554,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,50,0.8333333333333334,0.8333333333333334,2026-01-01T00:50:00Z,29.87816764132554,29.865984405458097,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,55,0.9166666666666666,0.9166666666666666,2026-01-01T00:55:00Z,29.865984405458097,29.85380116959065,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,60,1.0,1.0,2026-01-01T01:00:00Z,29.85380116959065,29.841617933723203,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,65,1.0833333333333333,1.0833333333333333,2026-01-01T01:05:00Z,29.841617933723203,29.82943469785576,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,70,1.1666666666666667,1.1666666666666667,2026-01-01T01:10:00Z,29.82943469785576,29.817251461988313,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,75,1.25,1.25,2026-01-01T01:15:00Z,29.817251461988313,29.805068226120866,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,80,1.3333333333333333,1.3333333333333333,2026-01-01T01:20:00Z,29.805068226120866,29.792884990253416,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,85,1.4166666666666667,1.4166666666666667,2026-01-01T01:25:00Z,29.792884990253416,29.78070175438597,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,90,1.5,1.5,2026-01-01T01:30:00Z,29.78070175438597,29.76851851851853,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,95,1.5833333333333333,1.5833333333333333,2026-01-01T01:35:00Z,29.76851851851853,29.75633528265108,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,100,1.6666666666666667,1.6666666666666667,2026-01-01T01:40:00Z,29.75633528265108,29.744152046783633,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,105,1.75,1.75,2026-01-01T01:45:00Z,29.744152046783633,29.73196881091619,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,110,1.8333333333333333,1.8333333333333333,2026-01-01T01:50:00Z,29.73196881091619,29.719785575048743,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,115,1.9166666666666667,1.9166666666666667,2026-01-01T01:55:00Z,29.719785575048743,29.707602339181296,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,120,2.0,2.0,2026-01-01T02:00:00Z,29.707602339181296,29.69541910331385,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,125,2.0833333333333335,2.0833333333333335,2026-01-01T02:05:00Z,29.69541910331385,29.683235867446403,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,130,2.1666666666666665,2.1666666666666665,2026-01-01T02:10:00Z,29.683235867446403,29.67105263157896,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,135,2.25,2.25,2026-01-01T02:15:00Z,29.67105263157896,29.658869395711513,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,140,2.3333333333333335,2.3333333333333335,2026-01-01T02:20:00Z,29.658869395711513,29.646686159844066,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,145,2.4166666666666665,2.4166666666666665,2026-01-01T02:25:00Z,29.646686159844066,29.634502923976623,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,150,2.5,2.5,2026-01-01T02:30:00Z,29.634502923976623,29.622319688109176,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,155,2.5833333333333335,2.5833333333333335,2026-01-01T02:35:00Z,29.622319688109176,29.61013645224173,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
threshold,restrictive,1,160,2.6666666666666665,2.6666666666666665,2026-01-01T02:40:00Z,29.61013645224173,29.597953216374282,NORMAL,NORMAL,0.0,35.0,10.0,0.24208641975308645,0.0,0.0,0.0,0.2,0,-5.0,M2,nan,M1,M1,0,5.0,-5.0,0.41666666666666663,0.0,0.0,poor_tracking_condition,requested_mode_matches_applied_mode
