soc_percent,p_net_w,irradiance_wm2,weather_index,demand_index,centroid,fis_mode
0.0,-350.0,850.0,0.85,0.85,0.6921,M1
0.0,-345.0,850.0,0.85,0.85,0.6921,M1
0.0,-340.0,850.0,0.85,0.85,0.6921,M1
0.0,-335.0,850.0,0.85,0.85,0.6921,M1
0.0,-330.0,850.0,0.85,0.85,0.6921,M1
0.0,-325.0,850.0,0.85,0.85,0.6921,M1
0.0,-320.0,850.0,0.85,0.85,0.6921,M1
0.0,-315.0,850.0,0.85,0.85,0.6921,M1
0.0,-310.0,850.0,0.85,0.85,0.6921,M1
0.0,-305.0,850.0,0.85,0.85,0.6921,M1
0.0,-300.0,850.0,0.85,0.85,0.6921,M1
0.0,-295.0,850.0,0.85,0.85,0.6921,M1
0.0,-290.0,850.0,0.85,0.85,0.6921,M1
0.0,-285.0,850.0,0.85,0.85,0.6921,M1
0.0,-280.0,850.0,0.85,0.85,0.6921,M1
0.0,-275.0,850.0,0.85,0.85,0.6921,M1
0.0,-270.0,850.0,0.85,0.85,0.6921,M1
0.0,-265.0,850.0,0.85,0.85,0.6921,M1
0.0,-260.0,850.0,0.85,0.85,0.6921,M1
0.0,-255.0,850.0,0.85,0.85,0.6921,M1
0.0,-250.0,850.0,0.85,0.85,0.6921,M1
0.0,-245.0,850.0,0.85,0.85,0.6921,M1
0.0,-240.0,850.0,0.85,0.85,0.6921,M1
0.0,-235.0,850.0,0.85,0.85,0.6921,M1
0.0,-230.0,850.0,0.85,0.85,0.6921,M1
0.0,-225.0,850.0,0.85,0.85,0.6921,M1
0.0,-220.0,850.0,0.85,0.85,0.6921,M1
0.0,-215.0,850.0,0.85,0.85,0.6917,M1
0.0,-210.0,850.0,0.85,0.85,0.6903,M1
0.0,-205.0,850.0,0.85,0.85,0.688,M1
0.0,-200.0,850.0,0.85,0.85,0.6846,M1
0.0,-195.0,850.0,0.85,0.85,0.6803,M1
0.0,-190.0,850.0,0.85,0.85,0.6748,M1
0.0,-185.0,850.0,0.85,0.85,0.668,M1
0.0,-180.0,850.0,0.85,0.85,0.6598,M1
0.0,-175.0,850.0,0.85,0.85,0.6501,M1
